"Kyivska oblast, Zhovtneva Street, 10"
"Kyiv, Velyka Kiltseva doroga Street, 4"
"Kharkiv, Haharina Avenue, 161"
"Odesa, Marshalа Zhukova Avenue, 2"
"Dnipro, Bohdana Khmelnytskoho Avenue, 4"
"Lviv, Stryiska Street, 202"
"Zaporizhia, Zaporizke Highway, 1"
"Kryvyi Rih, Metalurhiv Avenue, 1"
"Mykolaiv, Mykolaiv-Kherson Highway, 16"
"Vinnytsia, Khmelnytske Highway, 3"
"Rivne, Hvardiiska Street, 4"
"Ivano-Frankivsk, Stryiska Street, 1"
"Chernivtsi, Hrushevskoho Street, 65"
"Poltava, Pershotravneva Street, 58"
"Sumy, Kharkivska Street, 63"
"Ternopil, Kryvonosa Street, 4"
"Khmelnytskyi, Bukovynska Street, 43"
"Zhytomyr, Kyivska Street, 77"
"Chernihiv, Shevchenka Street, 94"
"Bila Tserkva, Soborna Street, 92"
"Lutsk, Volodymyra Velykoho Street, 4"
"Kremenchuk, Tsentralna Street, 79"
"Melitopol, Lenina Avenue, 73"
"Uzhhorod, Olbrachtova Street, 1"
"Berdiansk, Haharina Avenue, 131"
"Nikopol, Tsentralna Street, 150"
"Kamianets-Podilskyi, Vyacheslava Chornovola Street, 59"
"Brovary, Kyivska Street, 276"
"Kherson, Ushakova Avenue, 46"
"Boryspil, Haharina Avenue, 5"